decimalLatitude,decimalLongitude,eventDate,species,label
38.8877,0.2031,2017-12-18T09:01:00+00:00,Green Sea Turtle,1
35.681,135.8,2012-02-19T21:41,Green Sea Turtle,1
37.4,-1.366,2016-06-21T06:28:00+00:00,Green Sea Turtle,1
36.892,167.964,2011-01-12T05:48,Green Sea Turtle,1
32.359,-135.17,2003-09-17T17:27:58,Green Sea Turtle,1
28.374167,-80.471333,1992-09-11,Green Sea Turtle,1
28.6222,-80.323,1992-02-14T11:33:06,Green Sea Turtle,1
12.267,-68.327,2008-08-08T22:30:51,Green Sea Turtle,1
36.635,141.942,2006-07-17T04:56:49,Green Sea Turtle,1
40.94646,6.72456,2017-06-12T17:29:00+00:00,Green Sea Turtle,1
27.5,-37.5,2017-07-13T05:25:55/2017-07-16T22:25:16,Green Sea Turtle,1
-26.08937,32.85393,2012-02-08T06:27:19,Green Sea Turtle,1
39.021,174.299,2003-10-30T01:38:59,Green Sea Turtle,1
-21.15549,55.26542,2011-03-30T08:17:16,Green Sea Turtle,1
34.305,-176.364,2012-04-06T10:18,Green Sea Turtle,1
22.485,117.765,2005-03-21T05:47:05,Green Sea Turtle,1
40.219,172.408,2012-10-05T08:21,Green Sea Turtle,1
40.5,17.5,2008-01-04T17:07:22/2008-05-14T20:49:18,Green Sea Turtle,1
37.947402,17.502128,2021-06-17T14:41:44,Green Sea Turtle,1
35.330748,-75.355252,2007-03-19T15:26,Green Sea Turtle,1
-28.28177,52.56647,2011-01-12T23:44:05,Green Sea Turtle,1
40.2778,-73.129,2018-06-14T13:37:06,Green Sea Turtle,1
36.673,8.326,2018-01-06T14:47:00+00:00,Green Sea Turtle,1
-17.92159,52.84166,2011-08-29T07:28:21,Green Sea Turtle,1
42.951,155.619,2009-10-16T18:25,Green Sea Turtle,1
37.8084,3.9778,2018-03-11T08:35:00+00:00,Green Sea Turtle,1
4.724,59.97518,2011-01-05T07:48:02,Green Sea Turtle,1
39.067,5.063,2017-12-24T08:45:00+00:00,Green Sea Turtle,1
11.2781,-73.8647,2021-06-01/2021-08-11,Green Sea Turtle,1
38.083399,-76.220695,2017-10-07T11:28:59,Green Sea Turtle,1
